date,FP.PA,MC.PA,SAN.PA,AIR.PA,OR.PA
31/12/2012,26.978865,118.200035,51.947048,26.040861,92.523727
31/01/2013,27.686098,119.100677,52.776962,30.656374,96.584885
28/02/2013,26.552454,113.139206,53.305756,34.709339,101.131615
31/03/2013,26.296833,114.854729,58.219166,35.170002,109.209778
30/04/2013,26.940962,114.46714,61.120213,35.528786,119.53923
31/05/2013,27.162724,118.950096,62.607117,39.919338,117.060501
30/06/2013,26.836163,108.373848,60.414238,36.879364,113.378502
31/07/2013,28.692974,118.950096,60.831562,40.310001,113.109085
31/08/2013,29.991674,115.381157,55.155888,39.160469,113.378502
30/09/2013,31.122829,126.740837,56.885906,42.294743,114.007133
31/10/2013,32.842403,123.433022,59.594753,45.451466,113.288696
30/11/2013,32.356285,121.809998,59.063599,46.933289,110.594559
31/12/2013,32.774391,116.410866,58.517284,50.121452,114.680664
31/01/2014,31.162535,116.0158,55.239342,47.247616,109.561806
28/02/2014,34.614414,118.386162,57.159058,47.948112,110.235336
31/03/2014,35.473965,115.840218,57.424633,46.690811,107.496284
30/04/2014,38.365532,126.141121,59.200195,44.445629,113.663452
31/05/2014,38.365532,129.878647,61.723869,47.924259,117.330009
30/06/2014,39.806038,125.295715,61.047134,44.581123,115.35923
31/07/2014,36.268887,114.43914,61.86549,39.498116,115.863388
31/08/2014,37.852692,117.509224,65.705536,42.63628,115.496727
30/09/2014,39.280949,114.528114,70.474106,45.382751,115.221725
31/10/2014,36.204128,120.445847,57.962509,43.360474,114.671745
30/11/2014,34.348885,128.588287,61.267452,44.631226,125.763107
31/12/2014,32.95174,119.755493,59.536304,37.667133,127.688049
31/01/2015,35.261147,129.942642,64.525208,42.996101,145.791702
28/02/2015,37.380695,148.415329,69.010483,50.401997,148.724945
31/03/2015,36.326942,148.641693,72.33905,55.056873,157.066406
30/04/2015,38.061848,143.500946,71.76461,56.477932,156.241394
31/05/2015,36.091438,148.58667,72.401955,56.477932,160.110153
30/06/2015,34.667667,144.004913,71.662903,54.062756,148.982986
31/07/2015,35.865158,156.421494,79.56498,60.007797,158.620331
31/08/2015,32.467625,136.215897,71.606056,53.960579,142.185638
30/09/2015,32.476784,139.468979,68.942253,49.148804,144.373825
31/10/2015,35.663868,155.413498,74.594711,58.855946,154.616409
30/11/2015,37.970371,145.471085,68.528061,63.574825,156.059677
31/12/2015,34.07431,135.997894,64.735397,58.131393,146.515442
31/01/2016,33.545551,136.968323,62.169037,53.709766,146.701691
29/02/2016,33.918552,142.143936,59.440254,55.530434,145.258408
31/03/2016,33.31435,139.093994,57.547985,54.202087,146.608566
30/04/2016,36.532684,136.069458,58.56316,50.727955,150.349976
31/05/2016,36.320618,135.084793,62.764339,53.306698,160.265762
30/06/2016,36.603207,127.535797,63.811977,49.22448,163.207321
31/07/2016,36.080063,143.852875,64.859619,50.080891,161.546768
31/08/2016,36.071629,142.258667,59.169567,49.757359,160.692795
30/09/2016,36.110088,142.352478,57.944542,51.232285,159.506699
31/10/2016,37.437344,155.246704,60.788654,51.527271,154.714844
30/11/2016,38.494881,162.371063,65.592827,57.350849,152.817078
31/12/2016,42.252796,171.544067,66.273651,59.796371,164.535736
31/01/2017,40.46624,176.461517,64.196663,59.720245,159.743912
28/02/2017,40.804478,179.156662,70.486801,65.962517,166.575851
31/03/2017,41.657585,194.665604,73.338173,67.875168,170.940689
30/04/2017,41.442322,216.923553,75.062866,71.997337,176.639969
31/05/2017,41.530186,217.546066,79.312675,70.872223,183.981857
30/06/2017,38.539635,209.070267,75.345695,69.834404,176.205246
31/07/2017,38.250259,203.707031,72.611084,68.476509,169.153183
31/08/2017,38.682091,210.93782,73.850517,68.486214,171.326767
30/09/2017,41.016445,223.579712,75.975777,77.991463,173.790161
31/10/2017,43.205132,245.272079,73.5159,85.110687,184.561478
30/11/2017,42.785446,234.162521,69.274422,84.66452,179.489777
31/12/2017,42.109295,236.557129,64.978676,80.503548,178.66864
31/01/2018,42.648861,243.497681,64.318504,89.717819,176.881485
28/02/2018,42.955235,237.617477,59.170414,95.382156,171.036942
31/03/2018,42.741653,241.184158,59.443382,90.978714,177.123001
30/04/2018,48.486256,282.27005,59.861935,96.044945,195.708557
31/05/2018,48.22681,289.831696,62.990353,95.956192,202.351913
30/06/2018,48.946568,278.269684,65.888893,98.86515,208.158707
31/07/2018,52.36842,291.587982,71.378838,104.525291,206.190292
31/08/2018,50.502808,294.80777,71.014114,104.781677,203.434525
30/09/2018,52.960049,297.198273,73.480751,106.674965,204.418732
31/10/2018,49.280163,262.268188,75.669044,96.350624,195.757751
30/11/2018,46.629314,246.413071,76.600037,93.303619,204.61557
31/12/2018,44.382545,253.839767,72.616951,82.791924,198.021423
